Author	Year	Ecosystem	Ecosystem_Description	Matrix	Location	Residence_Time_d
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	2.08
Bouvier_del_Giorgio	2002	estuary	whole_choptank_river_estuary	water	Maryland	20
Bouvier_del_Giorgio	2002	estuary	whole_choptank_river_estuary	water	Maryland	100
Bouvier_del_Giorgio	2002	estuary	whole_choptank_river_estuary	water	Maryland	180
Bouvier_del_Giorgio	2002	estuary	whole_choptank_river_estuary	water	Maryland	42
Bouvier_del_Giorgio	2002	estuary	upper_region_of_estuary	water	Maryland	1
Bouvier_del_Giorgio	2002	estuary	upper_region_of_estuary	water	Maryland	3
Bouvier_del_Giorgio	2002	estuary	upper_region_of_estuary	water	Maryland	5
Bouvier_del_Giorgio	2002	estuary	upper_region_of_estuary	water	Maryland	1
Bouvier_del_Giorgio	2002	estuary	middle_region_of_estuary	water	Maryland	3
Bouvier_del_Giorgio	2002	estuary	middle_region_of_estuary	water	Maryland	20
Bouvier_del_Giorgio	2002	estuary	middle_region_of_estuary	water	Maryland	28
Bouvier_del_Giorgio	2002	estuary	middle_region_of_estuary	water	Maryland	7
Bouvier_del_Giorgio	2002	estuary	lower_region_of_estuary	water	Maryland	16
Bouvier_del_Giorgio	2002	estuary	lower_region_of_estuary	water	Maryland	77
Bouvier_del_Giorgio	2002	estuary	lower_region_of_estuary	water	Maryland	147
Bouvier_del_Giorgio	2002	estuary	lower_region_of_estuary	water	Maryland	34
