Author	Year	Ecosystem	Ecosystem_Description	Matrix	Location	Residence_Time_d
Bauch_etal	1995	ocean	river_water_in_Arctic_Ocean	water	Arctic_Ocean	4015
Bauch_etal	1995	ocean	river_water_in_Arctic_Ocean	water	Arctic_Ocean	5475
Macdonald_etal	1987	shelf	continental_shelf_surface_water	water	Beaufort_Sea	75
Schlosser_etal	1994	shelf	continental_shelves_river_runoff_water_halocline	water	Arctic_Ocean	1277.5
Pavlov_Pfirman	1995	shelf	continental_shelves	water	Arctic_Ocean	1277.5
Frank	1996	shelf	contiental_shelves_river_water_polar_surface_layer	water	Eurasian_basin	1934.5
Ostlund_Hut	1984	ocean	river_water_in_Arctic_Ocean_surface_&_haocline_waters	water	Arctic_Ocean	3650
Aagaard_Coachman	1975	ocean	freshwater_in_Arctic_Basin_(subsurface)	water	Arctic_Ocean	3650
Aagaard_Coachman	1975	ocean	surface_water	water	Arctic_Ocean	730
Ketchum	1951	ocean	Bay	water	New_Jersey	14
Ketchum	1951	estuary	River	water	New_Jersey	8
Hughs	1958	estuary	Mersey_Estuary	water	England	4
Ketchum_Keen	1953	ocean	Bay	water	Maine	76
Ketchum_Keen	1953	ocean	Bay	water	Maine	15
Ketchum_etal_	1951	shelf	continental_shelf	water	New_York	8.3
Macdonald_etal_	1989	shelf	Mackenzie_shelf	water	Beaufort_Sea	150
Bouvier_del_Giorgio	2002	estuary	Choptank_River_estuary	water	Maryland	20
Bouvier_del_Giorgio	2002	estuary	Choptank_River_estuary	water	Maryland	100
Bouvier_del_Giorgio	2002	estuary	Choptank_River_estuary	water	Maryland	180
Bouvier_del_Giorgio	2002	estuary	Choptank_River_estuary	water	Maryland	42
Bouvier_del_Giorgio	2002	estuary	Upper_portion_-_freshwater	water	Maryland	1
Bouvier_del_Giorgio	2002	estuary	Upper_portion_-_freshwater	water	Maryland	3
Bouvier_del_Giorgio	2002	estuary	Upper_portion_-_freshwater	water	Maryland	5
Bouvier_del_Giorgio	2002	estuary	Upper_portion_-_freshwater	water	Maryland	1
